description,price,num_house
"- Căn hộ tiện nghi rộng có trang bị nội thất chất lượng tốt, có sẵn bếp và đẩy đủ dụng cụ nấu ăn.
- Chỗ đậu xe an ninh.
- Wifi và Cáp Tivi.
- Nước sinh hoạt.
- Dịch vụ dọn phòng 2 lần / tuần.
- Giá thuê: 8.500.000

Vui lòng liên Ms.Hiền (Viber/zalo/whatsapp/line) để book lịch xem.",8500000.0,one
"Chỉ tốn tầm 15-20p để tới sâb bay nhưng được Căn hộ mini mới tinh, siêu xinh, siêu mới, còn đầy đủ nội thất thì sao không nhanh chóng ghé qua xem thử
Phòng full nội thâtd, cam kết đúng hình đúng giá, không tốn nhiều thời gian
Giá tốt trị trường hiện nay cho dạng phòng nhân đôi chỗ ngủ
Có ban công lớn đón ánh sáng tự nhiêni
Liên Hệ uyên để được tư vấn chi tiết",6500000.0,one
"🎶🍀 CĂN HỘ - PHÒNG TRỌ QUY MÔ 168 PHÒNG VỪA KHAI TRƯƠNG SIÊU HOT TẠI #TÂN_PHÚ 🤩🌼🏅 !!!!!!!
🤫🧚 Tất cả phòng Đều Có Ban Công - Đầy Đủ Tiện Nghi - Thoáng Mát Sạch Sẽ 🤫🧚
🧚 Vị trí đắc địa - mặt tiền đường Khuông Việt. 👑
=> Gần cạnh trung tâm Q1,10,5,8,....tân bình, Sân bay 🤫 gym, siêu thị, coffe 🏅
🍀 Giá cả phải chẳng chỉ từ #5tr cho một căn phòng siêu xinh lộng lẫy 🤩🎶
🎀 H Ì N H - T H Ậ T - G I Á - T H Ậ T 🎀
Hầm xe camera bảo vệ an ninh 24/7 giờ giấc tự do 🙆
Nhanh tay ib em không thôi hết phòng nhaaa 🙄🌼
Call me [...] / zalo",5000000.0,one
"Thuận tiện cho việc đi lại các quận lân cận,...
_______________________

Tiện nghi đầy đủ bao gồm:
- Tivi LG
- Giường nệm
- Máy lạnh
- Tủ lạnh
- Tủ quần áo
- Tranh trang trí
- Nước nóng năng lượng mặt trời
Dịch vụ khác:
- Cửa khóa vân tay
- Khu vực an ninh tốt
+ Giờ giấc tự do, về lúc nào cũng được.
+ Sân phơi đồ rộng rãi, thoáng
+ Khu giặt sấy miễn phí
+ Nhà để xe rộng rãi, đặt biệt không tính phí để xe
+ Wifi mạnh riêng từng lầu. Không chung chủ rất thoải mái.
LIÊN HỆ MÌNH NGAY ĐỂ ĐƯỢC XEM CĂN HỘ BẠN NHÉ",9000000.0,one
"CHÍNH CHỦ CHO THUÊ CĂN HỘ CHUNG CƯ MINI MỚI FUL NỘI THẤT CHỈ CẦN XÁCH VAI VÔ Ở LUÔN - HIỆP BÌNH PHƯỚC - THỦ ĐỨC.

Giá thuê: 4.5 triệu/tháng
Diện tích: 30 m2
Cho thuê căn hộ mini, trang bị đầy đủ nội thất, không gian bài trí tươi mát, sạch đẹp, yên tĩnh, thoáng mát, toilet sạch đẹp, có sân thượng, ban công riêng.
Nội thất gồm tủ, giường, máy lạnh, tủ lạnh, máy giặt, bếp, Máy nước nóng.
Thang máy thẻ từ đảm bảo an ninh, có hầm giữ xe không thu phí , gần Nhà thờ Fatima, Gigamall.
Một căn hộ ở được 3 người. Ưu tiên người ở dài hạn, ổn định.
Khu dân cư tập trung, yên tĩnh, an ninh cao, không lo ngập nước,
Giao thông tiện di chuyển đến khu trung tâm tiện ích.
Điẹn nước tính theo giá nhà nước. có đồng hồ riêng.
Địa chỉ: Quốc Lộ 13, P. Hiệp Bình Phước, Quận Thủ Đức, Tp. Hồ Chí Minh",4500000.0,one
"Khai Trương Căn Hộ tiện nghi gần chợ Bà Chiểu sầm uất, tiện đi lại các quận.
♦ Mới 100% ,chưa qua sử dụng .
♦ Thiết kế riêng biệt , thoáng mát .
♦ Full nội thất ,chỉ cần mang vali đến ở .
♦ Giờ giấc tự do, không chung chủ, an ninh đảm bảo.
- 🏅🏅🏅Giá thuê cho căn hộ chỉ 6.5tr thôi nhé .Cực rẻ
🎶🎶Liên hệ Hiền để xem căn hộ 24/24 .",6500000.0,one
"- Không cần nội thất
- Ở hộ gia đình (vợ chồng và 1 bé nhỏ)
- Giờ giấc tự do, có bếp và sân thượng phơi đồ
- Có chỗ gửi xe hơi
- Giá tầm 3tr",3000000.0,one
"Cho thuê CH Sunrise Riverside của Novaland.
- MT Nguyễn Hữu Thọ, View Sông, cạnh Phú Mỹ Hưng
- Mã căn B5-05 - Tầng 5
- Diện tích : 69m2
- 2PN, 2 toilet (70m2)
- Đầy đủ nội thất
- Liên hệ Chủ Nhà",17000000.0,one
"Gần siêu thị lotte với 2p đi bộ, ngay trung tâm gò vấp, ku dân cư an ninh, có chỗ để xe, full nội thất, máy lạnh, wifi đầy đủ",5500000.0,one
"✅ Gác thông minh, vừa cầu thang vừa làm tủ. Tối hưu hoá diện tích sử dụng cho bạn
✅ Nội thất từ A-Z. Không cần sắm gì thêm, xách vali vào ở luôn
✅ Ban quản lí nhiệt tình, dễ thương. Có vấn đề alo lên giải quyết liền
✅ Hầm giữ xe rộng rãi, chứa hơn 400 chiếc. Không lo về trễ hết chổ để
✅ Đặc biệt: đang tặng cho các khách iu combo khuyến mãi 1 TRIỆU ĐỒNG",5500000.0,one
"cho thuê gấp chung cư đại thành 94m2, 9tr/th, 3 phòng ngủ, 2 tolet, nội thất cơ bản, căn hộ mới bàn giao rất sạch sẽ, phù hợp với nhóm bạn hoặc gia đình. vui lòng liên hệ trực tiếp xem nhà.",9000000.0,one
"chính chủ cho thuê gấp căn hộ chung cư đại thành, 75m2, 7,5tr/th, căn hộ mới bàn giao chưa ai ở nên rất sạch đẹp, nội thất cơ bản, 2 phòng ngủ 2 tolet. liên hệ trực tiếp để xem nhà nhé.",7500000.0,one
"chính chủ cho thuê căn hộ sacomreal 584, 100m2, 10tr/th, 2 phòng ngủ 2 tolet, căn hộ sạch đẹp xem la hit, vui long liên hệ để được xem nhầ trực tiếp.",10000000.0,one
"cần cho thuê gấp căn hộ richmond city 11tr/th, căn hộ mới bàn giao, nội thất cơ bản, nhà mới sạch đẹp, 2 phòng ngủ, 2 tolet",11000000.0,one
"cần cho thuê gấp căn hộ chung cư miếu nổi, 51m2 10tr/th. căn hộ sạch đẹp xem la hit, vui lòng liên hệ trực tiếp đẻ xem nhà.",10000000.0,one
"cần cho thuê gấp căn hộ the harmona 76m2, giá 12,5tr/th. căn hộ đầy đủ tiện nghi, full nội thất. căn hộ rất mới và đẹp.
Distilled one of the apartments with an area of 76m2, price 12.5 million / month. full of them dick and new and beautiful.",12500000.0,one
"Dự án: chung cư thạnh lộc.
Thông tin chi tiết: Cho thuê căn hộ lầu 8 chung cư Thạnh Lộc P.Thạnh Lộc Quận 12,
- Diện tích 48m2: 2PN, 1WC, sân phơi, view cửa sổ Công viên hướng Đông Nam thoáng mát.
- Nhà trống vào ở ngay.
- Giá thuê: 4.5 triệu/tháng.
- Liên hệ Hiếu.",4500000.0,one
"Cho thuê căn hộ 3PN, 2WC Richmond City, 79 Nguyễn Xí, Phường 26, Quận Bình Thạnh.
+ Diện tích: 85m2. Bao gồm 3PN, 2WC, nhà trống, nội thất cơ bản.
+ Tầng trung đẹp, view sông thoáng mát. Đầy đủ tiện ích xung quanh.
+ HĐ cọc 2 tháng, thanh toán 1 tháng, ưu tiên thuê dài hạn trên 1 năm.
+ Giá đặc biệt: 16.000.000/tháng (bao luôn phí quản lý).",16000000.0,one
"Do địa điểm làm việc xa, nên cần cho thuê lại căn hộ, nhà trống dọn vào ở ngay, nội thất cơ bản. Chính chủ cho thuê, ưu tiên gia đình, ở dài hạn.",6500000.0,one
"CHỦ GỬI BÁN CẤP 2PN MATERI THẢO ĐIỀN-T1 TẦNG CAO VIEW TP NGẤT NGÂY

✳️ Diện tích: 66m2

✳️ Full nội thất xịn sò🤩, thiết kế kiểu Tân cổ điển, tông mầu hài hoà, dễ chịu :heart_eyes:

✳️Tầng cao thoáng mát gió thổi lồng lộng. Không cần dùng máy lạnh.

✳️Căn hộ có Nội Thất như hình ảnh đính kèm

✳️Giá bán: 3,85 tỉ.

✳️Có xuất đậu xe ô tô

✳️Đang cho ng nước ngoài thuê giá 800 usd .

☎️☎️ Liên hệ Mr.Lộc - ACE có khách hợp tác vui vẻ",15000000.0,one
"cho thuê căn hộ Ngọc Đông Dương, quận bình tân
diện tích : 84m2, 3PN",7500000.0,one
